label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pos-mix-01
,299,299,1,59.036518,9.971,0.847541,,59.036518@9.971017,59.036518@9.971017,,0.000,0.000000,59.036518,183949.11
,300,300,1,59.036533,9.704,0.808883,,59.036533@9.704433,59.036533@9.704433,,0.000,0.000000,59.036533,105964.82
,301,301,1,87.099670,9.958,0.846447,,87.099670@9.958401,87.099670@9.958401,,0.000,0.000000,87.099670,109620.40
,302,302,1,87.099670,9.543,0.817682,,87.099670@9.542533,87.099670@9.542533,,0.000,0.000000,87.099670,52992.36
,303,303,1,87.099709,9.005,0.805285,,87.099709@9.005133,87.099709@9.005133,,0.000,0.000000,87.099709,72509.04
,304,304,1,60.045811,14.375,0.793257,,60.045811@14.374900,60.045811@14.374900,,0.000,0.000000,60.045811,244651.42
,305,305,1,84.088745,8.385,0.850745,,84.088745@8.384916,84.088745@8.384916,,0.000,0.000000,84.088745,108270.20
,306,306,1,73.064682,2.767,0.786210,,73.064682@2.767383,73.064682@2.767383,,0.000,0.000000,73.064682,105704.43
,307,307,1,59.071106,10.538,0.524552,,59.071106@10.537800,59.071106@10.537800,,0.000,0.000000,59.071106,98479.27
,308,308,1,59.066357,9.704,0.665164,,59.066357@9.704433,59.066357@9.704433,,0.000,0.000000,59.066357,151958.64
,309,309,1,59.049892,12.412,0.597586,,59.049892@12.411600,59.049892@12.411600,,0.000,0.000000,59.049892,52540.86
,310,310,1,104.008148,16.102,0.851754,,104.008148@16.101534,104.008148@16.101534,,0.000,0.000000,104.008148,109508.22
,311,311,1,81.987679,15.889,0.851461,,81.987679@15.889100,81.987679@15.889100,,0.000,0.000000,81.987679,91953.74
,312,312,1,81.030960,16.102,0.851676,,81.030960@16.101534,81.030960@16.101534,,0.000,0.000000,81.030960,103296.25
,313,313,1,80.049355,13.377,0.840681,,80.049355@13.377467,80.049355@13.377467,,0.000,0.000000,80.049355,89038.95
,314,314,1,97.028275,13.683,0.742549,,97.028275@13.682883,97.028275@13.682883,,0.000,0.000000,97.028275,88762.56
,315,315,1,74.023529,13.223,0.851604,,74.023529@13.223149,74.023529@13.223149,,0.000,0.000000,74.023529,110287.32
,316,316,1,59.049145,11.128,0.724096,,59.049145@11.128333,59.049145@11.128333,,0.000,0.000000,59.049145,74165.20
,317,317,1,59.049194,10.823,0.529606,,59.049194@10.823383,59.049194@10.823383,,0.000,0.000000,59.049194,62134.78
,318,318,1,60.032448,18.837,0.814158,,60.032448@18.837500,60.032448@18.837500,,0.000,0.000000,60.032448,50590.92
,319,319,1,60.032528,19.593,0.767746,,60.032528@19.593332,60.032528@19.593332,,0.000,0.000000,60.032528,93971.12
,320,320,1,60.032688,19.250,0.646498,,60.032688@19.249834,60.032688@19.249834,,0.000,0.000000,60.032688,69737.53
,321,321,1,85.075905,19.835,0.584551,,85.075905@19.834665,85.075905@19.834665,,0.000,0.000000,85.075905,54938.04
,322,322,1,85.028305,13.764,0.850729,,85.028305@13.764299,85.028305@13.764299,,0.000,0.000000,85.028305,98182.48
,323,323,1,63.043736,5.937,0.849261,,63.043736@5.937217,63.043736@5.937217,,0.000,0.000000,63.043736,99681.32
,324,324,1,73.075958,12.174,0.781506,,73.075958@12.174050,73.075958@12.174050,,0.000,0.000000,73.075958,55122.64
,325,325,1,61.060673,10.408,0.808631,,61.060673@10.408184,61.060673@10.408184,,0.000,0.000000,61.060673,64727.73
,326,326,1,61.060654,11.776,0.601002,,61.060654@11.776366,61.060654@11.776366,,0.000,0.000000,61.060654,62894.59
,327,327,1,60.045799,6.466,0.655000,,60.045799@6.465600,60.045799@6.465600,,0.000,0.000000,60.045799,66365.69
,328,328,1,115.050003,4.362,0.831531,,115.050003@4.362134,115.050003@4.362134,,0.000,0.000000,115.050003,103836.76
,329,329,1,98.071152,4.506,0.703833,,98.071152@4.506150,98.071152@4.506150,,0.000,0.000000,98.071152,83538.65
,330,330,1,110.104347,2.611,0.804406,,110.104347@2.610633,110.104347@2.610633,,0.000,0.000000,110.104347,99954.73
,331,331,1,113.034378,7.284,0.848191,,113.034378@7.283834,113.034378@7.283834,,0.000,0.000000,113.034378,102268.62
,332,332,1,73.084068,10.837,0.849246,,73.084068@10.836884,73.084068@10.836884,,0.000,0.000000,73.084068,81890.07
,333,333,1,104.090370,14.693,0.725749,,104.090370@14.693000,104.090370@14.693000,,0.000,0.000000,104.090370,114812.10
,334,334,1,61.058922,13.724,0.851334,,61.058922@13.723817,61.058922@13.723817,,0.000,0.000000,61.058922,90582.85
,335,335,1,99.091545,10.352,0.848346,,99.091545@10.351851,99.091545@10.351851,,0.000,0.000000,99.091545,88210.66
,336,336,1,60.030952,19.525,0.508855,,60.030952@19.524834,60.030952@19.524834,,0.000,0.000000,60.030952,71563.08
,337,337,1,59.043133,9.555,0.831254,,59.043133@9.555483,59.043133@9.555483,,0.000,0.000000,59.043133,79674.63
